"filename", "language", "Markdown", "Shell Script", "JavaScript", "JSON", "JSON with Comments", "TypeScript", "TypeScript JSX", "SVG", "pdf", "Properties", "MS SQL", "CSS", "comment", "blank", "total"
"/home/qasawa/Minimoda/src/app/[locale]/products/products-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 5, 17, 160
"/home/qasawa/Minimoda/src/app/[locale]/sale/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 2, 34
"/home/qasawa/Minimoda/src/app/[locale]/sale/sale-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 3, 10, 73
"/home/qasawa/Minimoda/src/app/[locale]/wishlist/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 3, 42
"/home/qasawa/Minimoda/src/app/[locale]/wishlist/wishlist-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 7, 64
"/home/qasawa/Minimoda/src/app/admin/analytics/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 338, 0, 0, 0, 0, 0, 13, 21, 372
"/home/qasawa/Minimoda/src/app/admin/customers/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 312, 0, 0, 0, 0, 0, 7, 24, 343
"/home/qasawa/Minimoda/src/app/admin/inventory/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 434, 0, 0, 0, 0, 0, 12, 42, 488
"/home/qasawa/Minimoda/src/app/admin/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 8, 17, 115
"/home/qasawa/Minimoda/src/app/admin/login/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 7, 13, 155
"/home/qasawa/Minimoda/src/app/admin/orders/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"/home/qasawa/Minimoda/src/app/admin/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 382, 0, 0, 0, 0, 0, 12, 32, 426
"/home/qasawa/Minimoda/src/app/admin/products/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 683, 0, 0, 0, 0, 0, 22, 47, 752
"/home/qasawa/Minimoda/src/app/admin/promotions/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 306, 0, 0, 0, 0, 0, 5, 22, 333
"/home/qasawa/Minimoda/src/app/admin/settings/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 386, 0, 0, 0, 0, 0, 3, 22, 411
"/home/qasawa/Minimoda/src/app/admin/shipping/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 264, 0, 0, 0, 0, 0, 5, 24, 293
"/home/qasawa/Minimoda/src/app/admin/whatsapp/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 2, 6, 32
"/home/qasawa/Minimoda/src/app/api/whatsapp/webhook/route.ts", "TypeScript", 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 22, 20, 115
"/home/qasawa/Minimoda/src/app/design-tokens.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 193, 77, 45, 315
"/home/qasawa/Minimoda/src/app/globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 368, 51, 81, 500
"/home/qasawa/Minimoda/src/app/offline/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"/home/qasawa/Minimoda/src/app/offline/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 5, 8, 84
"/home/qasawa/Minimoda/src/components/admin/inventory-alerts.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 0, 14, 159
"/home/qasawa/Minimoda/src/components/admin/navigation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 3, 9, 87
"/home/qasawa/Minimoda/src/components/admin/order-management.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 681, 0, 0, 0, 0, 0, 18, 55, 754
"/home/qasawa/Minimoda/src/components/admin/popular-items.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 159, 0, 0, 0, 0, 0, 3, 18, 180
"/home/qasawa/Minimoda/src/components/admin/realtime-chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 4, 20, 146
"/home/qasawa/Minimoda/src/components/admin/recent-orders.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 186, 0, 0, 0, 0, 0, 0, 17, 203
"/home/qasawa/Minimoda/src/components/admin/sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 8, 146
"/home/qasawa/Minimoda/src/components/admin/whatsapp-center.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 354, 0, 0, 0, 0, 0, 6, 34, 394
"/home/qasawa/Minimoda/src/components/auth/customer-auth-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 451, 0, 0, 0, 0, 0, 6, 35, 492
"/home/qasawa/Minimoda/src/components/performance-monitor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 2, 15, 71
"/home/qasawa/Minimoda/src/components/performance-optimized-layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 6, 27
"/home/qasawa/Minimoda/src/components/sections/categories-bubbles.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 7, 17, 193
"/home/qasawa/Minimoda/src/components/sections/checkout-content.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 644, 0, 0, 0, 0, 0, 19, 60, 723
"/home/qasawa/Minimoda/src/components/sections/collections-editorial.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 5, 14, 127
"/home/qasawa/Minimoda/src/components/sections/email-signup-minimal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 4, 12, 123
"/home/qasawa/Minimoda/src/components/sections/featured-brands.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 299, 0, 0, 0, 0, 0, 11, 32, 342
"/home/qasawa/Minimoda/src/components/sections/footer-maisonette.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 262, 0, 0, 0, 0, 0, 14, 15, 291
"/home/qasawa/Minimoda/src/components/sections/footer-minimal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 151, 0, 0, 0, 0, 0, 6, 13, 170
"/home/qasawa/Minimoda/src/components/sections/hero-editorial.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 6, 12, 146
"/home/qasawa/Minimoda/src/components/sections/hero-maisonette.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 372, 0, 0, 0, 0, 0, 17, 22, 411
"/home/qasawa/Minimoda/src/components/sections/main-categories.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 274, 0, 0, 0, 0, 0, 13, 18, 305
"/home/qasawa/Minimoda/src/components/sections/navigation-maisonette-fixed.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 229, 0, 0, 0, 0, 0, 18, 22, 269
"/home/qasawa/Minimoda/src/components/sections/navigation-maisonette.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 513, 0, 0, 0, 0, 0, 46, 61, 620
"/home/qasawa/Minimoda/src/components/sections/navigation-minimal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 179, 0, 0, 0, 0, 0, 18, 22, 219
"/home/qasawa/Minimoda/src/components/sections/new-arrivals-maisonette.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 4, 10, 116
"/home/qasawa/Minimoda/src/components/sections/new-arrivals-minimal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 4, 9, 82
"/home/qasawa/Minimoda/src/components/sections/new-in-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 174, 0, 0, 0, 0, 0, 6, 24, 204
"/home/qasawa/Minimoda/src/components/sections/organized-categories.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 330, 0, 0, 0, 0, 0, 15, 19, 364
"/home/qasawa/Minimoda/src/components/sections/product-detail-premium.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 470, 0, 0, 0, 0, 0, 18, 33, 521
"/home/qasawa/Minimoda/src/components/sections/product-detail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 307, 0, 0, 0, 0, 0, 17, 24, 348
"/home/qasawa/Minimoda/src/components/sections/products-page-content.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 450, 0, 0, 0, 0, 0, 29, 38, 517
"/home/qasawa/Minimoda/src/components/ui/badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 5, 36
"/home/qasawa/Minimoda/src/components/ui/bottom-sheet-filter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 9, 20, 174
"/home/qasawa/Minimoda/src/components/ui/button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 3, 7, 68
"/home/qasawa/Minimoda/src/components/ui/card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 8, 71
"/home/qasawa/Minimoda/src/components/ui/cart-drawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 204, 0, 0, 0, 0, 0, 9, 17, 230
"/home/qasawa/Minimoda/src/components/ui/enhanced-search.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 277, 0, 0, 0, 0, 0, 14, 30, 321
